Date,Maximum Temperature,Minimum Temperature,Average Temperature,Precipitation,Snowfall,Snow Depth
2018-01-01,5,0,2.5,0.04,1.0,3.0
2018-01-02,13,1,7.0,0.03,0.6,4.0
2018-01-03,19,-2,8.5,0.0,0.0,4.0
2018-01-04,22,1,11.5,0.0,0.0,3.0
2018-01-05,18,-2,8.0,0.09,1.2,4.0
2018-01-06,2,-3,-0.5,0.0,0.0,4.0
2018-01-07,2,-3,-0.5,0.0,0.0,4.0
2018-01-08,24,-3,10.5,0.0,0.0,4.0
2018-01-09,37,23,30.0,0.0,0.0,4.0
2018-01-10,33,15,24.0,0.0,0.0,4.0
2018-01-11,41,18,29.5,0.0,0.0,3.0
2018-01-12,57,40,48.5,0.76,0.0,0.0
2018-01-13,62,12,37.0,0.94,6.0,6.0
2018-01-14,12,4,8.0,0.06,0.9,6.0
2018-01-15,12,-9,1.5,0.0,0.0,6.0
2018-01-16,22,-9,6.5,0.05,0.5,6.0
2018-01-17,26,15,20.5,0.13,1.6,8.0
2018-01-18,20,-1,9.5,0.0,0.0,8.0
2018-01-19,22,-3,9.5,0.0,0.0,7.0
2018-01-20,37,8,22.5,0.0,0.0,6.0
2018-01-21,45,16,30.5,0.0,0.0,4.0
2018-01-22,42,19,30.5,0.02,0.0,3.0
2018-01-23,46,35,40.5,0.01,0.0,0.0
2018-01-24,50,24,37.0,0.1,0.0,0.0
2018-01-25,25,16,20.5,0.02,0.7,1.0
2018-01-26,24,13,18.5,0.0,0.0,0.0
2018-01-27,38,13,25.5,0.0,0.0,0.0
2018-01-28,51,30,40.5,0.02,0.0,0.0
2018-01-29,46,21,33.5,0.0,0.0,0.0
2018-01-30,37,19,28.0,0.05,0.5,1.0
2018-01-31,19,-2,8.5,0.06,0.8,1.0
2018-02-01,30,4,17.0,0.0,0.1,1.0
2018-02-02,45,13,29.0,0.1,1.0,1.0
2018-02-03,14,1,7.5,0.0,0.0,1.0
2018-02-04,29,11,20.0,0.0,0.0,1.0
2018-02-05,31,14,22.5,0.09,1.0,2.0
2018-02-06,21,7,14.0,0.03,0.6,2.0
2018-02-07,27,12,19.5,0.01,0.1,2.0
2018-02-08,25,15,20.0,0.37,4.0,6.0
2018-02-09,24,5,14.5,0.02,0.3,6.0
2018-02-10,35,8,21.5,0.07,1.0,5.0
2018-02-11,40,26,33.0,0.01,0.0,3.0
2018-02-12,45,26,35.5,0.08,0.0,1.0
2018-02-13,29,18,23.5,0.0,0.1,1.0
2018-02-14,33,17,25.0,0.0,0.0,0.0
2018-02-15,47,33,40.0,0.0,0.0,0.0
2018-02-16,61,40,50.5,0.33,0.0,0.0
2018-02-17,41,15,28.0,0.0,0.0,0.0
2018-02-18,32,15,23.5,0.05,1.1,1.0
2018-02-19,36,26,31.0,0.0,0.0,0.0
2018-02-20,47,33,40.0,0.14,0.0,0.0
2018-02-21,67,47,57.0,0.0,0.0,0.0
2018-02-22,69,30,49.5,0.03,0.0,0.0
2018-02-23,34,29,31.5,0.5,3.5,4.0
2018-02-24,42,33,37.5,0.02,0.0,0.0
2018-02-25,41,35,38.0,0.18,0.0,0.0
2018-02-26,47,35,41.0,0.0,0.0,0.0
2018-02-27,48,22,35.0,0.0,0.0,0.0
2018-02-28,55,23,39.0,0.0,0.0,0.0
2018-03-01,56,35,45.5,0.0,0.0,0.0
2018-03-02,38,28,33.0,0.86,3.5,4.0
2018-03-03,29,27,28.0,0.09,1.6,5.0
2018-03-04,30,26,28.0,0.0,0.0,4.0
2018-03-05,28,17,22.5,0.0,0.0,2.0
2018-03-06,28,22,25.0,0.0,0.0,1.0
2018-03-07,41,20,30.5,0.11,1.5,2.0
2018-03-08,34,27,30.5,0.06,0.9,3.0
2018-03-09,32,24,28.0,0.05,1.0,2.0
2018-03-10,35,24,29.5,0.0,0.0,0.0
2018-03-11,31,26,28.5,0.0,0.0,0.0
2018-03-12,32,15,23.5,0.0,0.0,0.0
2018-03-13,35,15,25.0,0.21,1.7,2.0
2018-03-14,31,23,27.0,0.21,4.2,6.0
2018-03-15,29,22,25.5,0.21,5.6,10.0
2018-03-16,37,22,29.5,0.06,0.9,8.0
2018-03-17,25,7,16.0,0.01,0.0,8.0
2018-03-18,37,6,21.5,0.0,0.0,6.0
2018-03-19,35,6,20.5,0.0,0.0,3.0
2018-03-20,30,3,16.5,0.0,0.0,2.0
2018-03-21,37,7,22.0,0.0,0.0,2.0
2018-03-22,36,22,29.0,0.0,0.0,1.0
2018-03-23,38,25,31.5,0.0,0.0,0.0
2018-03-24,36,25,30.5,0.0,0.0,0.0
2018-03-25,34,12,23.0,0.0,0.0,0.0
2018-03-26,43,17,30.0,0.0,0.0,0.0
2018-03-27,47,19,33.0,0.0,0.0,0.0
2018-03-28,41,33,37.0,0.43,0.0,0.0
2018-03-29,46,35,40.5,0.01,0.0,0.0
2018-03-30,54,38,46.0,0.88,0.0,0.0
2018-03-31,41,22,31.5,0.05,0.0,0.0
2018-04-01,52,22,37.0,0.02,0.0,0.0
2018-04-02,38,27,32.5,0.0,0.0,0.0
2018-04-03,46,27,36.5,0.0,0.0,0.0
2018-04-04,50,35,42.5,0.25,0.0,0.0
2018-04-05,53,23,38.0,0.19,0.1,0.0
2018-04-06,33,19,26.0,0.0,0.1,0.0
2018-04-07,45,24,34.5,0.07,0.8,1.0
2018-04-08,33,17,25.0,0.0,0.0,0.0
2018-04-09,30,18,24.0,0.01,0.0,0.0
2018-04-10,41,19,30.0,0.01,0.2,0.0
2018-04-11,39,23,31.0,0.0,0.0,0.0
2018-04-12,46,26,36.0,0.0,0.0,0.0
2018-04-13,60,29,44.5,0.06,0.0,0.0
2018-04-14,61,38,49.5,0.01,0.0,0.0
2018-04-15,40,31,35.5,0.0,0.0,0.0
2018-04-16,43,34,38.5,0.05,0.0,0.0
2018-04-17,50,32,41.0,0.71,0.1,0.0
2018-04-18,37,28,32.5,0.2,1.4,1.0
2018-04-19,40,31,35.5,0.05,0.6,1.0
2018-04-20,36,27,31.5,0.08,0.3,0.0
2018-04-21,41,23,32.0,0.0,0.0,0.0
2018-04-22,53,25,39.0,0.0,0.0,0.0
2018-04-23,59,26,42.5,0.0,0.0,0.0
2018-04-24,69,30,49.5,0.0,0.0,0.0
2018-04-25,68,47,57.5,0.07,0.0,0.0
2018-04-26,57,42,49.5,0.12,0.0,0.0
2018-04-27,56,35,45.5,0.0,0.0,0.0
2018-04-28,58,37,47.5,0.06,0.0,0.0
2018-04-29,59,33,46.0,0.04,0.0,0.0
2018-04-30,43,32,37.5,0.11,0.0,0.0
2018-05-01,59,29,44.0,0.0,0.0,0.0
2018-05-02,78,34,56.0,0.0,0.0,0.0
2018-05-03,85,55,70.0,0.0,0.0,0.0
2018-05-04,80,60,70.0,0.07,0.0,0.0
2018-05-05,81,38,59.5,0.19,0.0,0.0
2018-05-06,74,43,58.5,0.0,0.0,0.0
2018-05-07,66,47,56.5,0.03,0.0,0.0
2018-05-08,63,34,48.5,0.0,0.0,0.0
2018-05-09,75,39,57.0,0.0,0.0,0.0
